modlist_label,mo2_instance,profile,mod_name,mod_priority,plugin_file,plugin_path,form_id,editor_id,full_name,full_name_source,armor_category,bod_template_type,keyword_category,armor_rating,value,weight,biped_slots,biped_slot_numbers,keyword_edids,keyword_form_ids,material_keywords,armor_slot_keywords,vendor_keywords,enchantment_form_id,template_form_id,male_world_model,female_world_model
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D00087D,COCOMage_topoutmetal1,[COCO] Mage Outerwear Metal I,plugin,Clothing,Clothing,Clothing,0.0,1500,1.0,Custom Slot (52),52,ArmorClothing; VendorItemClothing; ClothingBody; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x000A8657; 0x0006BBD4,ArmorMaterialDaedric,ClothingBody,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\topoutmetal.nif,Coco_Cloths\Mysterious Mage\gnd\topoutmetal.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D00087F,COCOMage_pantysexsmp1,[COCO] Mage Leggings I (SMP),plugin,Clothing,Clothing,Clothing,0.0,400,1.0,Custom Slot (56),56,ArmorClothing; VendorItemClothing; ClothingBody; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x000A8657; 0x0006BBD4,ArmorMaterialDaedric,ClothingBody,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\pantysex.nif,Coco_Cloths\Mysterious Mage\gnd\pantysex.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D000881,COCOMage_bra1,[COCO] Mage Bra I,plugin,Clothing,Clothing,Clothing,0.0,400,1.0,Custom Slot (53),53,ArmorClothing; VendorItemClothing; ClothingBody; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x000A8657; 0x0006BBD4,ArmorMaterialDaedric,ClothingBody,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\bra.nif,Coco_Cloths\Mysterious Mage\gnd\bra.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D000883,COCOMage_topinT1,[COCO] Mage Corset Alt I,plugin,Clothing,Clothing,Clothing,0.0,400,1.0,Body,32,ArmorClothing; VendorItemClothing; ClothingBody; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x000A8657; 0x0006BBD4,ArmorMaterialDaedric,ClothingBody,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\topin.nif,Coco_Cloths\Mysterious Mage\gnd\topin.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D000885,COCOMage_topin1,[COCO] Mage Corset I,plugin,Clothing,Clothing,Clothing,0.0,1500,1.0,Body,32,ArmorClothing; VendorItemClothing; ClothingBody; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x000A8657; 0x0006BBD4,ArmorMaterialDaedric,ClothingBody,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\topin.nif,Coco_Cloths\Mysterious Mage\gnd\topin.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D000887,COCOMage_panty1T1,[COCO] Mage Leggings I Alt,plugin,Clothing,Clothing,Clothing,0.0,400,1.0,Custom Slot (56),56,ArmorClothing; VendorItemClothing; ClothingBody; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x000A8657; 0x0006BBD4,ArmorMaterialDaedric,ClothingBody,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\panty.nif,Coco_Cloths\Mysterious Mage\gnd\panty.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D00088A,COCOMage_heels1,[COCO] Mage Heels I,plugin,Clothing,Clothing,Clothing,0.0,400,1.0,Feet,37,ArmorClothing; VendorItemClothing; ClothingFeet; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x0010CD12; 0x0006BBD4,ArmorMaterialDaedric,ClothingFeet,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\heels.nif,Coco_Cloths\Mysterious Mage\gnd\heels.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D00088B,COCOMage_TopoutSmp1,[COCO] Mage Outerwear I (SMP),plugin,Clothing,Clothing,Clothing,0.0,400,1.0,Custom Slot (46),46,ArmorClothing; VendorItemClothing; ClothingBody; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x000A8657; 0x0006BBD4,ArmorMaterialDaedric,ClothingBody,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\topout.nif,Coco_Cloths\Mysterious Mage\gnd\topout.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D00088D,COCOMage_pantylaceT1,[COCO] Mage Leggings Lace Alt I,plugin,Clothing,Clothing,Clothing,0.0,400,1.0,Custom Slot (49),49,ArmorClothing; VendorItemClothing; ClothingBody; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x000A8657; 0x0006BBD4,ArmorMaterialDaedric,ClothingBody,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\pantylace.nif,Coco_Cloths\Mysterious Mage\gnd\pantylace.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D00088F,COCOMage_pantylace1,[COCO] Mage Leggings Lace I,plugin,Clothing,Clothing,Clothing,0.0,1500,1.0,Custom Slot (49),49,ArmorClothing; VendorItemClothing; ClothingBody; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x000A8657; 0x0006BBD4,ArmorMaterialDaedric,ClothingBody,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\pantylace.nif,Coco_Cloths\Mysterious Mage\gnd\pantylace.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D00089F,COCOMage_glove1,[COCO] Mage Glove I,plugin,Clothing,Clothing,Clothing,0.0,400,1.0,Hands,33,ArmorClothing; VendorItemClothing; ClothingHands; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x0010CD13; 0x0006BBD4,ArmorMaterialDaedric,ClothingHands,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\glove.nif,Coco_Cloths\Mysterious Mage\gnd\glove.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D0008A1,COCOMage_panty1,[COCO] Mage Leggings I,plugin,Clothing,Clothing,Clothing,0.0,400,1.0,Custom Slot (56),56,ArmorClothing; VendorItemClothing; ClothingBody; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x000A8657; 0x0006BBD4,ArmorMaterialDaedric,ClothingBody,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\panty.nif,Coco_Cloths\Mysterious Mage\gnd\panty.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D0008B2,COCOMage_boots1,[COCO] Mage Boots I,plugin,Clothing,Clothing,Clothing,0.0,400,1.0,Feet,37,ArmorClothing; VendorItemClothing; ClothingFeet; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x0010CD12; 0x0006BBD4,ArmorMaterialDaedric,ClothingFeet,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\boots.nif,Coco_Cloths\Mysterious Mage\gnd\boots.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D0008B3,COCOMage_hairsmp1,[COCO] Mage Hair I (SMP),plugin,Clothing,Clothing,Clothing,0.0,400,1.0,Hair,31,ArmorClothing; VendorItemClothing; ClothingHead; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x0010CD11; 0x0006BBD4,ArmorMaterialDaedric,ClothingHead,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\hair.nif,Coco_Cloths\Mysterious Mage\gnd\hair.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D0008B4,COCOMage_kneelet1,[COCO] Mage Kneelet I,plugin,Clothing,Clothing,Clothing,0.0,400,1.0,Custom Slot (48),48,ArmorClothing; VendorItemClothing; ClothingBody; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x000A8657; 0x0006BBD4,ArmorMaterialDaedric,ClothingBody,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\kneelet.nif,Coco_Cloths\Mysterious Mage\gnd\kneelet.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D0008B7,COCOMage_crown1,[COCO] Mage Headwear I,plugin,Clothing,Clothing,Clothing,0.0,400,1.0,Circlet,42,ArmorClothing; VendorItemClothing; ClothingHead; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x0010CD11; 0x0006BBD4,ArmorMaterialDaedric,ClothingHead,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\crown.nif,Coco_Cloths\Mysterious Mage\gnd\crown.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D0008B8,COCOMage_gloveT1,[COCO] Mage Glove Alt I,plugin,Clothing,Clothing,Clothing,0.0,400,1.0,Hands,33,ArmorClothing; VendorItemClothing; ClothingHands; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x0010CD13; 0x0006BBD4,ArmorMaterialDaedric,ClothingHands,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\glove.nif,Coco_Cloths\Mysterious Mage\gnd\glove.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D0008BA,COCOMage_panty1T3,[COCO] Mage Leggings III Alt,plugin,Clothing,Clothing,Clothing,0.0,1500,1.0,Custom Slot (56),56,ArmorClothing; VendorItemClothing; ClothingBody; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x000A8657; 0x0006BBD4,ArmorMaterialDaedric,ClothingBody,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\panty.nif,Coco_Cloths\Mysterious Mage\gnd\panty.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D0008BC,COCOMage_panty1T2,[COCO] Mage Leggings II Alt,plugin,Clothing,Clothing,Clothing,0.0,400,1.0,Custom Slot (56),56,ArmorClothing; VendorItemClothing; ClothingBody; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x000A8657; 0x0006BBD4,ArmorMaterialDaedric,ClothingBody,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\panty.nif,Coco_Cloths\Mysterious Mage\gnd\panty.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D0008CB,COCOMage_necklace2,[COCO] Mage Necklace II,plugin,Clothing,Clothing,Clothing,0.0,400,1.0,Amulet,35,ArmorClothing; VendorItemClothing; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x0006BBD4,ArmorMaterialDaedric,,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\necklace.nif,Coco_Cloths\Mysterious Mage\gnd\necklace.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D0008CD,COCOMage_topoutshometal2,[COCO] Mage Pauldrons II,plugin,Clothing,Clothing,Clothing,0.0,1500,1.0,Custom Slot (59),59,ArmorClothing; VendorItemClothing; ClothingBody; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x000A8657; 0x0006BBD4,ArmorMaterialDaedric,ClothingBody,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\topoutshometal.nif,Coco_Cloths\Mysterious Mage\gnd\topoutshometal.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D0008CF,COCOMage_TopoutSmpT2,[COCO] Mage Outerwear II Alt (SMP),plugin,Clothing,Clothing,Clothing,0.0,400,1.0,Custom Slot (46),46,ArmorClothing; VendorItemClothing; ClothingBody; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x000A8657; 0x0006BBD4,ArmorMaterialDaedric,ClothingBody,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\topout.nif,Coco_Cloths\Mysterious Mage\gnd\topout.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D0008D1,COCOMage_topoutmetal2,[COCO] Mage Outerwear Metal II,plugin,Clothing,Clothing,Clothing,0.0,1500,1.0,Custom Slot (52),52,ArmorClothing; VendorItemClothing; ClothingBody; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x000A8657; 0x0006BBD4,ArmorMaterialDaedric,ClothingBody,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\topoutmetal.nif,Coco_Cloths\Mysterious Mage\gnd\topoutmetal.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D0008D3,COCOMage_pantysexsmp2,[COCO] Mage Leggings II (SMP),plugin,Clothing,Clothing,Clothing,0.0,400,1.0,Custom Slot (56),56,ArmorClothing; VendorItemClothing; ClothingBody; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x000A8657; 0x0006BBD4,ArmorMaterialDaedric,ClothingBody,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\pantysex.nif,Coco_Cloths\Mysterious Mage\gnd\pantysex.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D0008D5,COCOMage_bra2,[COCO] Mage Bra II,plugin,Clothing,Clothing,Clothing,0.0,400,1.0,Custom Slot (53),53,ArmorClothing; VendorItemClothing; ClothingBody; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x000A8657; 0x0006BBD4,ArmorMaterialDaedric,ClothingBody,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\bra.nif,Coco_Cloths\Mysterious Mage\gnd\bra.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D0008D7,COCOMage_topinT2,[COCO] Mage Corset Alt II,plugin,Clothing,Clothing,Clothing,0.0,400,1.0,Body,32,ArmorClothing; VendorItemClothing; ClothingBody; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x000A8657; 0x0006BBD4,ArmorMaterialDaedric,ClothingBody,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\topin.nif,Coco_Cloths\Mysterious Mage\gnd\topin.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D0008D9,COCOMage_topin2,[COCO] Mage Corset II,plugin,Clothing,Clothing,Clothing,0.0,1500,1.0,Body,32,ArmorClothing; VendorItemClothing; ClothingBody; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x000A8657; 0x0006BBD4,ArmorMaterialDaedric,ClothingBody,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\topin.nif,Coco_Cloths\Mysterious Mage\gnd\topin.nif
